Query_ID	Subject_ID	%_Identity	Alignment_Length	Mismatches	Gap_Openings	Query_Start	Query_End	Subject_Start	Subject_End	E-value	Bit_Score
k141_960819	11xylanase	44.286	70	35	2	1	201	334	402	6.32e-13	52.0
k141_3842622	11xylanase	34.459	148	74	5	70	510	405	530	3.76e-23	86.3
k141_3842622	9xylanase	30.667	150	76	6	85	507	50	180	7.95e-21	78.6
k141_3842622	4RecName:	32.203	177	89	7	100	585	100	260	2.76e-20	77.4
k141_3842622	1xylanase	30.508	177	92	8	100	585	104	264	5.02e-18	71.2
k141_3842622	3xylanase	30.337	178	91	9	100	585	104	264	8.06e-18	70.5
k141_3522370	9xylanase	40.476	336	176	6	34814	35797	7	326	4.57e-76	249.0
k141_3522370	11xylanase	41.176	357	188	7	34778	35830	344	684	6.65e-76	261.0
k141_3522370	4RecName:	39.498	319	168	4	34817	35737	48	353	2.45e-66	224.0
k141_3522370	3xylanase	36.723	354	187	8	34817	35809	53	392	1.95e-65	221.0
k141_3522370	6xylanase	37.618	319	174	4	34817	35737	48	353	4.43e-65	220.0
k141_3522370	1xylanase	36.757	370	182	8	34814	35809	52	407	3.14e-64	218.0
k141_343	9xylanase	49.0	100	51	0	5	304	145	244	3.84e-35	114.0
k141_343	11xylanase	50.98	102	49	1	2	304	493	594	1.93e-33	112.0
k141_343	6xylanase	39.216	102	59	3	5	304	196	296	3.48e-19	72.0
k141_343	1xylanase	38.614	101	61	1	5	304	200	300	9.65e-19	70.9
k141_343	4RecName:	39.216	102	59	3	5	304	196	296	1.13e-18	70.5
k141_343	3xylanase	39.604	101	60	1	5	304	200	300	2.03e-18	69.7
k141_343	5xylanase	38.889	108	62	3	2	316	158	264	6.03e-17	65.9
k141_4162874	4RecName:	31.959	97	61	2	660	385	59	155	1.19e-09	50.4
k141_4162895	4RecName:	31.959	97	61	2	660	385	59	155	1.51e-10	50.4
k141_2561960	11xylanase	43.011	93	40	3	307	29	371	450	9.79e-19	69.7
